date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:41	23560/23560	---M--	200	added ('OK')	font/woff2	date:Sat,%2012%20Oct%202024%2022:32:32%20GMT	https://paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=3a40b768779778c2ac2aa1f9486d235e53eaccb9ea6e1fa71453c0f2c9d81200	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667ad5c.woff2	(from https://paversongames.com/)
14:44:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:40%20GMT	http://paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=62041778c44d9343d248b9c2f7e64ef64a263a2fd2abe4d3f4a87b5c5d98bdf0	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48c137.woff2	(from https://paversongames.com/)
14:44:42	17552/17552	---M--	200	added ('OK')	font/woff2	date:Sat,%2005%20Oct%202024%2016:19:08%20GMT	https://paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e69.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=64786b31cd1e13fc375f249941d46735d61d56f39587b52ae5f48ccb9dccaad3	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e6958e4.woff2	(from https://paversongames.com/)
14:44:42	17780/17780	---M--	200	added ('OK')	font/woff2	date:Sun,%2013%20Oct%202024%2000:53:19%20GMT	https://paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=62041778c44d9343d248b9c2f7e64ef64a263a2fd2abe4d3f4a87b5c5d98bdf0	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48c137.woff2	(from https://paversongames.com/)
14:44:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:41%20GMT	http://paversongames.com/cdn/shop/t/5/assets/vendor.min.js?v=29476689884135146841673888371	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/vendor.mineea2.js	(from https://paversongames.com/)
14:44:42	165484/165484	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Aug%202024%2023:30:16%20GMT	https://paversongames.com/cdn/shop/t/5/assets/vendor.min.js?v=29476689884135146841673888371	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/vendor.mineea2.js	(from https://paversongames.com/)
14:44:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:41%20GMT	http://paversongames.com/cdn/shop/t/5/assets/theme.js?v=115188652593628418671673888371	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/themedb0c.js	(from https://paversongames.com/)
14:44:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:42%20GMT	http://paversongames.com/cdn/shop/files/Paverson_Favicon.png?v=1671811463	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/Paverson_Favicon6eae.png	(from https://paversongames.com/)
14:44:44	121485/121485	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2011:44:07%20GMT	https://paversongames.com/cdn/shop/t/5/assets/theme.js?v=115188652593628418671673888371	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/t/5/assets/themedb0c.js	(from https://paversongames.com/)
14:44:44	1479/1479	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2004:21:46%20GMT	https://paversongames.com/cdn/shop/files/Paverson_Favicon.png?v=1671811463	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/Paverson_Favicon6eae.png	(from https://paversongames.com/)
